epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667927951973,2022-11-08T19:19:11.973,8.480,-1.006,-0.213,1.220
1667927952013,2022-11-08T19:19:12.013,8.520,-1.006,0.152,1.402
1667927952053,2022-11-08T19:19:12.053,8.560,-1.128,0.366,1.585
1667927952093,2022-11-08T19:19:12.093,8.600,-0.732,-0.091,1.738
1667927952133,2022-11-08T19:19:12.133,8.640,0.213,-0.366,1.860
1667927952173,2022-11-08T19:19:12.173,8.680,0.823,-0.732,2.165
1667927952213,2022-11-08T19:19:12.213,8.720,0.366,-0.976,2.744
1667927952253,2022-11-08T19:19:12.253,8.760,0.274,-1.372,2.805
1667927952293,2022-11-08T19:19:12.293,8.800,0.305,-1.372,2.348
1667927952333,2022-11-08T19:19:12.333,8.840,0.000,-1.311,1.921
1667927952373,2022-11-08T19:19:12.373,8.880,0.152,-1.037,1.433
1667927952413,2022-11-08T19:19:12.413,8.920,0.122,-0.945,1.402
1667927952453,2022-11-08T19:19:12.453,8.960,0.000,-0.701,1.189
1667927952493,2022-11-08T19:19:12.493,9.000,-0.640,-0.488,0.701
1667927952533,2022-11-08T19:19:12.533,9.040,-0.549,-0.091,0.518
1667927952573,2022-11-08T19:19:12.573,9.080,-0.610,-0.061,0.549
1667927952613,2022-11-08T19:19:12.613,9.120,-0.366,0.030,0.335
1667927952653,2022-11-08T19:19:12.653,9.160,0.213,-0.366,-0.091
1667927952693,2022-11-08T19:19:12.693,9.200,0.091,-0.518,0.000
1667927952733,2022-11-08T19:19:12.733,9.240,-0.305,0.030,-0.061
1667927952773,2022-11-08T19:19:12.773,9.280,-0.244,-0.244,-0.183
1667927952813,2022-11-08T19:19:12.813,9.320,0.610,-0.701,-0.305
1667927952853,2022-11-08T19:19:12.853,9.360,0.793,-0.457,-0.152
1667927952893,2022-11-08T19:19:12.893,9.400,0.305,-0.396,-0.183
1667927952933,2022-11-08T19:19:12.933,9.440,0.061,-0.579,-0.305
1667927952973,2022-11-08T19:19:12.973,9.480,-0.244,-0.244,-0.122
1667927953013,2022-11-08T19:19:13.013,9.520,-0.335,-0.091,0.061
1667927953053,2022-11-08T19:19:13.053,9.560,-0.122,-0.427,0.122
1667927953093,2022-11-08T19:19:13.093,9.600,-0.305,-0.274,0.335
1667927953133,2022-11-08T19:19:13.133,9.640,-0.183,-0.335,0.274
