epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667827972117,2022-11-07T15:32:52.117,5.360,-0.094,0.154,-0.978
1667827972157,2022-11-07T15:32:52.157,5.400,-0.102,0.148,-0.983
1667827972197,2022-11-07T15:32:52.197,5.440,-0.097,0.147,-0.976
1667827972237,2022-11-07T15:32:52.237,5.480,-0.099,0.141,-0.976
1667827972277,2022-11-07T15:32:52.277,5.520,-0.098,0.134,-0.971
1667827972317,2022-11-07T15:32:52.317,5.560,-0.083,0.142,-0.955
1667827972357,2022-11-07T15:32:52.357,5.600,-0.093,0.163,-0.965
1667827972397,2022-11-07T15:32:52.397,5.640,-0.114,0.170,-0.997
1667827972437,2022-11-07T15:32:52.437,5.680,-0.114,0.164,-1.005
1667827972477,2022-11-07T15:32:52.477,5.720,-0.116,0.147,-0.991
1667827972517,2022-11-07T15:32:52.517,5.760,-0.113,0.123,-0.973
1667827972557,2022-11-07T15:32:52.557,5.800,-0.106,0.125,-0.973
1667827972597,2022-11-07T15:32:52.597,5.840,-0.109,0.128,-0.978
1667827972637,2022-11-07T15:32:52.637,5.880,-0.102,0.144,-0.967
1667827972677,2022-11-07T15:32:52.677,5.920,-0.100,0.159,-0.964
1667827972717,2022-11-07T15:32:52.717,5.960,-0.103,0.169,-0.971
1667827972757,2022-11-07T15:32:52.757,6.000,-0.106,0.182,-0.978
1667827972797,2022-11-07T15:32:52.797,6.040,-0.109,0.176,-0.980
1667827972837,2022-11-07T15:32:52.837,6.080,-0.110,0.166,-0.977
1667827972877,2022-11-07T15:32:52.877,6.120,-0.104,0.151,-0.967
1667827972917,2022-11-07T15:32:52.917,6.160,-0.111,0.142,-0.971
1667827972957,2022-11-07T15:32:52.957,6.200,-0.121,0.141,-0.987
1667827972997,2022-11-07T15:32:52.997,6.240,-0.117,0.148,-0.987
1667827973037,2022-11-07T15:32:53.037,6.280,-0.114,0.154,-0.977
1667827973077,2022-11-07T15:32:53.077,6.320,-0.104,0.157,-0.963
1667827973117,2022-11-07T15:32:53.117,6.360,-0.090,0.157,-0.951
1667827973157,2022-11-07T15:32:53.157,6.400,-0.108,0.164,-0.962
1667827973197,2022-11-07T15:32:53.197,6.440,-0.119,0.172,-0.987
1667827973237,2022-11-07T15:32:53.237,6.480,-0.119,0.165,-0.991
1667827973277,2022-11-07T15:32:53.277,6.520,-0.116,0.145,-0.974
1667827973317,2022-11-07T15:32:53.317,6.560,-0.112,0.136,-0.967
1667827973357,2022-11-07T15:32:53.357,6.600,-0.118,0.146,-0.980
1667827973397,2022-11-07T15:32:53.397,6.640,-0.118,0.152,-0.986
1667827973437,2022-11-07T15:32:53.437,6.680,-0.117,0.156,-0.979
1667827973477,2022-11-07T15:32:53.477,6.720,-0.111,0.157,-0.970
1667827973517,2022-11-07T15:32:53.517,6.760,-0.103,0.162,-0.962
1667827973557,2022-11-07T15:32:53.557,6.800,-0.105,0.167,-0.961
1667827973597,2022-11-07T15:32:53.597,6.840,-0.119,0.173,-0.984
1667827973637,2022-11-07T15:32:53.637,6.880,-0.125,0.166,-0.999
1667827973677,2022-11-07T15:32:53.677,6.920,-0.121,0.154,-0.984
1667827973717,2022-11-07T15:32:53.717,6.960,-0.108,0.148,-0.964
1667827973757,2022-11-07T15:32:53.757,7.000,-0.103,0.150,-0.961
1667827973797,2022-11-07T15:32:53.797,7.040,-0.102,0.160,-0.964
1667827973837,2022-11-07T15:32:53.837,7.080,-0.100,0.174,-0.963
1667827973877,2022-11-07T15:32:53.877,7.120,-0.108,0.185,-0.973
1667827973917,2022-11-07T15:32:53.917,7.160,-0.110,0.182,-0.983
1667827973957,2022-11-07T15:32:53.957,7.200,-0.105,0.164,-0.972
1667827973997,2022-11-07T15:32:53.997,7.240,-0.102,0.154,-0.962
1667827974037,2022-11-07T15:32:54.037,7.280,-0.104,0.142,-0.968
1667827974077,2022-11-07T15:32:54.077,7.320,-0.109,0.144,-0.972
1667827974117,2022-11-07T15:32:54.117,7.360,-0.110,0.147,-0.967
1667827974157,2022-11-07T15:32:54.157,7.400,-0.111,0.164,-0.975
1667827974197,2022-11-07T15:32:54.197,7.440,-0.116,0.174,-0.985
1667827974237,2022-11-07T15:32:54.237,7.480,-0.117,0.166,-0.983
1667827974277,2022-11-07T15:32:54.277,7.520,-0.113,0.158,-0.972
1667827974317,2022-11-07T15:32:54.317,7.560,-0.109,0.146,-0.965
1667827974357,2022-11-07T15:32:54.357,7.600,-0.110,0.145,-0.967
1667827974397,2022-11-07T15:32:54.397,7.640,-0.116,0.154,-0.975
1667827974437,2022-11-07T15:32:54.437,7.680,-0.121,0.148,-0.983
1667827974477,2022-11-07T15:32:54.477,7.720,-0.120,0.154,-0.987
1667827974517,2022-11-07T15:32:54.517,7.760,-0.114,0.135,-0.979
1667827974557,2022-11-07T15:32:54.557,7.800,-0.115,0.148,-0.969
1667827974597,2022-11-07T15:32:54.597,7.840,-0.103,0.135,-0.966
1667827974637,2022-11-07T15:32:54.637,7.880,-0.110,0.133,-0.976
1667827974677,2022-11-07T15:32:54.677,7.920,-0.126,0.129,-0.990
1667827974717,2022-11-07T15:32:54.717,7.960,-0.131,0.117,-0.995
1667827974757,2022-11-07T15:32:54.757,8.000,-0.118,0.126,-0.980
1667827974797,2022-11-07T15:32:54.797,8.040,-0.111,0.119,-0.966
1667827974837,2022-11-07T15:32:54.837,8.080,-0.113,0.123,-0.965
1667827974877,2022-11-07T15:32:54.877,8.120,-0.110,0.131,-0.965
1667827974917,2022-11-07T15:32:54.917,8.160,-0.119,0.146,-0.977
1667827974957,2022-11-07T15:32:54.957,8.200,-0.129,0.148,-0.990
1667827974997,2022-11-07T15:32:54.997,8.240,-0.129,0.139,-0.989
1667827975037,2022-11-07T15:32:55.037,8.280,-0.127,0.135,-0.978
1667827975077,2022-11-07T15:32:55.077,8.320,-0.130,0.126,-0.979
1667827975117,2022-11-07T15:32:55.117,8.360,-0.130,0.121,-0.980
1667827975157,2022-11-07T15:32:55.157,8.400,-0.130,0.120,-0.979
1667827975197,2022-11-07T15:32:55.197,8.440,-0.128,0.128,-0.980
1667827975237,2022-11-07T15:32:55.237,8.480,-0.127,0.135,-0.980
1667827975277,2022-11-07T15:32:55.277,8.520,-0.124,0.139,-0.976
1667827975317,2022-11-07T15:32:55.317,8.560,-0.126,0.147,-0.976
1667827975357,2022-11-07T15:32:55.357,8.600,-0.126,0.150,-0.978
1667827975397,2022-11-07T15:32:55.397,8.640,-0.119,0.150,-0.974
1667827975437,2022-11-07T15:32:55.437,8.680,-0.117,0.144,-0.966
1667827975477,2022-11-07T15:32:55.477,8.720,-0.122,0.142,-0.975
1667827975517,2022-11-07T15:32:55.517,8.760,-0.130,0.134,-0.989
1667827975557,2022-11-07T15:32:55.557,8.800,-0.125,0.137,-0.978
1667827975597,2022-11-07T15:32:55.597,8.840,-0.115,0.134,-0.961
1667827975637,2022-11-07T15:32:55.637,8.880,-0.135,0.158,-0.983
1667827975677,2022-11-07T15:32:55.677,8.920,-0.142,0.147,-0.991
1667827975717,2022-11-07T15:32:55.717,8.960,-0.127,0.153,-0.982
1667827975757,2022-11-07T15:32:55.757,9.000,-0.136,0.124,-0.971
1667827975797,2022-11-07T15:32:55.797,9.040,-0.137,0.064,-0.975
1667827975837,2022-11-07T15:32:55.837,9.080,-0.099,0.108,-1.003
1667827975877,2022-11-07T15:32:55.877,9.120,-0.066,0.131,-0.994
1667827975917,2022-11-07T15:32:55.917,9.160,-0.043,0.147,-0.974
1667827975957,2022-11-07T15:32:55.957,9.200,-0.029,0.127,-0.968
1667827975997,2022-11-07T15:32:55.997,9.240,-0.047,0.092,-0.970
1667827976037,2022-11-07T15:32:56.037,9.280,-0.061,0.089,-0.988
1667827976077,2022-11-07T15:32:56.077,9.320,-0.070,0.093,-0.999
1667827976117,2022-11-07T15:32:56.117,9.360,-0.077,0.084,-0.983
1667827976157,2022-11-07T15:32:56.157,9.400,-0.079,0.062,-0.965
1667827976197,2022-11-07T15:32:56.197,9.440,-0.069,0.065,-0.968
1667827976237,2022-11-07T15:32:56.237,9.480,-0.063,0.070,-0.982
